#From http://nmrlipids.blogspot.com/2017/03/nmrlipids-iv-headgroup-glycerol.html?showComment=1491469275406#c2581199604649938289
#
#DOPS 1.0 nm switching version 2

1 -0.0714443 
2 0.0252595 -0.0648029
3 -0.209222 -0.22916
4 -0.193383 
5 -0.178898 -0.0592771
