# POPS quadrupolar coupling from POPC:POPS 5:1 mixture 
# From Fig. 5 in Roux et al. Biochemistry, 29, 7077-7089
#
# Low concetrations should be retaken from the insert
#
# [CaCl_2]      Quadrupolar_coupling 
0.00680366261409  7.97441706306
0.0107226888308  6.87190320442
0.0126603486331  6.28218445647
0.0123106957364  5.66679535836
0.0165793748498  5.17967059783
0.020950036058  4.87203432426
0.0342951216136  4.35938490228
0.0546332651025  4.15451744258
0.0819207599123  4.1805083079
0.104589922712  4.07823483563
0.254387051188  3.72118095266
0.504228614719  3.44233276758
