#From http://nmrlipids.blogspot.com/2017/03/nmrlipids-iv-headgroup-glycerol.html?showComment=1494630737037#c3529046498989580857

1 -0.0108393
2 -0.0495447 0.127673
3 -0.186262 -0.344498
4 -0.162946
5 0.319748 -0.0178918


