# POPS quadrupolar coupling from POPC:POPS 5:1 mixture 
# From Fig. 5 in Roux et al. Biochemistry, 29, 7077-7089
#
# Low concetrations should be retaken from the insert
#
# [CaCl_2]      Quadrupolar_coupling 
0.0117279409087  12.6411468615
0.0134907742626  11.7437335645
0.0155304161598  11.3335033035
0.0175554891863  10.8976318301
0.0263987936975  10.4618477699
0.0398312924774  10.1030456224
0.0578821232672  9.87250781256
0.0828531676367  9.82154590287
0.107824212006  9.77058399318
0.257665047094  9.49045374748
0.509866767678  9.36548197466
0.759824882174  9.29176348895
1.00981213441  9.26932742808
