#[NaCl]     beta               alpha1              alpha2       
0         -0.131324993596   -0.102715885727     0.0581812559178
0.5       -0.107474907413   -0.0775713044524    0.0212038751229
1         -0.113574948376   -0.080649494611     0.0277424821802
