# Delivered by Tom Piggot by email
#
#GROMOS-CKP v1
#
#beta -0.00670151 0.0496466
#alpha 0.149706 0.0805947
#g3 -0.196246 -0.293557
#g2 -0.207525
#g1 0.170568 0.0247718
#
#GROMOS-CKP v2
#
#beta 0.00793131 0.080668
#alpha 0.122329 0.118437
#g3 -0.219965 -0.321129
#g2 -0.200192
#g1 0.168108 0.058375
#
#
# For mixture average over two simulations
#
#       beta1       err      beta2      err        alpha1        err      alpha2     err
0       0.0611664   -       -0.0120199  -           0.130049      -        0.161695   -
0.17    0.0651573   0.02     0.0006     0.007       0.09951585    0.02     0.136017  0.01 


