# Data by Tom Piggot from:
# http://nmrlipids.blogspot.com/2017/03/nmrlipids-iv-headgroup-glycerol.html?showComment=1491420308902#c1966486812509509804
# and
# from https://github.com/NMRLipids/NMRlipidsIVotherHGs/issues/1
# Na counterions
#
#
# mole fraction of PC        beta          alpha1       alpha2
0                          -0.0803705     0.00809381   -0.0760739
0.83                       -0.132797      0.0495719    -0.10143         
