#From http://nmrlipids.blogspot.com/2017/03/nmrlipids-iv-headgroup-glycerol.html?showComment=1491468832701#c8005184714151189896
#
#DOPS 15A cut-off version 1

1 -0.0697978
2 0.0194815 -0.0641133
3 0.00299033 0.0879588
4 0.00744446
5 0.0109113 -0.163907
