# Data by Tom Piggot from: https://github.com/NMRLipids/NMRlipidsIVotherHGs/issues/1
# K counterions
#
# 
#
# mole fraction of PC        beta          alpha1       alpha2
0                           -0.0641443    0.0594299     -0.0557454
0.83                        -0.132095     0.0868788     -0.0966833
