#From http://nmrlipids.blogspot.com/2017/03/nmrlipids-iv-headgroup-glycerol.html?showComment=1494631013584#c1201814234174431536


1 0.00442848
2 -0.0264082 0.0622449
3 -0.203746 -0.349032
4 -0.183483
5 0.32361 0.0108414


