#From http://nmrlipids.blogspot.com/2017/03/nmrlipids-iv-headgroup-glycerol.html?showComment=1491420308902#c1966486812509509804
#
#POPS 1.0 nm switching version 2

1 -0.0803705
2 0.00809381 -0.0760739
3 -0.214749 -0.229649
4 -0.226479
5 -0.226623 -0.0313807
