#[POPE]    POPC_a1   error      POPC_a2   error       POPC_b1   error      POPC_b2     error    POPE_a1   error     POPE_a2     error       POPE_b1   error    POPE_b2   error
0        0.03453    0.00133   0.03340    0.00127   -0.07745    0.00114   -0.07786    0.00120   -               -      -         -              -     -            -       -
0.5     0.02546    0.00207   0.03666    0.00220   -0.09716    0.00167   -0.09922    0.00169   0.09389    0.00201   0.06249    0.00177   0.00315    0.00206   -0.00892    0.00169
