#From http://nmrlipids.blogspot.com/2017/03/nmrlipids-iv-headgroup-glycerol.html?showComment=1494629838152#c3749275725682135536

1 0.223021
2 0.192289 0.203946
3 -0.209767 -0.23064
4 -0.164477
5 0.225605 0.128681

