# Data from: http://doi.org/10.5281/zenodo.1120287
# and http://doi.org/10.5281/zenodo.897467
#
# 
#
# mole fraction of PC        beta                alpha1                alpha2
0                            0.0629816717755    0.0888303332859     -0.0568110961078
0.83                        -0.0971539928598    -0.0227115331225     -0.154748709548      
