#From http://nmrlipids.blogspot.com/2017/03/nmrlipids-iv-headgroup-glycerol.html?showComment=1494631013584#c1201814234174431536

1 0.000403073
2 -0.0627875 0.0625025
3 -0.189088 -0.341653
4 -0.163069
5 0.342013 -0.0305952




