#From http://nmrlipids.blogspot.com/2017/03/nmrlipids-iv-headgroup-glycerol.html?showComment=1491425687561#c4932902612512697301
#
#DOPS 1.0 nm switching version 2

1 -0.0601911
2 0.00238097 -0.0424167
3 -0.229217 -0.23201
4 -0.217005
5 -0.189629 -0.0351633
