#From http://nmrlipids.blogspot.com/2017/03/nmrlipids-iv-headgroup-glycerol.html?showComment=1491425687561#c4932902612512697301
#
#DOPS 1.0 nm switching version 1

1 -0.0445504
2 0.00475181 -0.0456792
3 -0.21634 -0.229123
4 -0.195551
5 -0.191639 -0.0342016
