#From http://nmrlipids.blogspot.com/2017/03/nmrlipids-iv-headgroup-glycerol.html?showComment=1494631013584#c1201814234174431536

1 0.00224342
2 -0.0473613 0.0684367
3 -0.175363 -0.35207
4 -0.156214
5 0.322538 -0.0279131



