# POPC:POPS 5:1 quadrupolar coupling
# From Fig. 3 in Roux et al. Biochemistry, 29, 7077-7089
#
# [CaCl_2]      Quadrupolar_coupling QC_change 
0               7.59942559984 0
0.0011902453368 7.32849934791 -0.270926
0.00419266486438 6.8809589897 -0.718467
0.00909166955007 6.58669678085 -1.01273
0.0139904207494 6.28065252466 -1.31877
0.0998486686261 4.97201383529 -2.62741
0.252559726962 3.9765176045 -3.62291
0.505119453925 3.18380443978 -4.41562
0.754266211604 2.21157492489 -5.38785
1 1.4188034188 -6.18062
1.50170648464 -0.0128059274817 -7.61223
2.50170648464 -2.59400250868 -10.1934
3 -3.61538461538 -11.2148
