#From http://nmrlipids.blogspot.com/2017/03/nmrlipids-iv-headgroup-glycerol.html?showComment=1494631013584#c1201814234174431536

1 0.0092074
2 -0.0815055 0.0706571
3 -0.193756 -0.340826
4 -0.159516
5 0.340333 -0.022688


