#From http://nmrlipids.blogspot.com/2017/03/nmrlipids-iv-headgroup-glycerol.html?showComment=1491420308902#c1966486812509509804
#
#POPS 1.0 nm switching version 1

1 -0.0665649
2 0.0130353 -0.0624143
3 -0.225571 -0.241592
4 -0.231893
5 -0.216094 -0.0510908
