#[CaCl]    POPC_a1   error      POPC_a2   error       POPC_b1   error      POPC_b2     error    POPS_a1   error     POPS_a2     error       POPS_b   error
0     0.160485  0.05736  0.17849  0.04786  -0.00214  0.032105  0.0018  0.03088  0.105455  0.049225  0.09235  0.04808  0.04882  0.051125   
500   0.0294748  0.0193371  0.0519671  0.0191896  -0.0922495  0.0135996  -0.0890901  0.014207  -0.00459071  0.0559421  0.233405  0.0600107  0.189912  0.0613152   
1000   0.0267547  0.0228292  0.0163842  0.0200863  -0.119605  0.0138458  -0.124443  0.0129116  0.20377  0.0684267  -0.0402909  0.0617978  0.0461861  0.0656375   
2000   0.020466  0.0250524  0.010321  0.0237607  -0.111479  0.0172184  -0.0882276  0.0193586  0.162954  0.0786842  -0.0211344  0.0659887  -0.0426262  0.067913   
