#From http://nmrlipids.blogspot.com/2017/03/nmrlipids-iv-headgroup-glycerol.html?showComment=1494630737037#c3529046498989580857


1 0.00537431
2 -0.0416432 0.139164
3 -0.204886 -0.348506
4 -0.189437
5 0.33678 -0.00465369

