# From tables II and III from Borle and Seelig Chem. Phys. Lipids 36 (1985) 263-283
# 
# Sings are not yet known
#
# Quadrupolar splittings reported
#
# mole fraction of PC        beta  
0                         4.7
0.5                       5.0
