#From http://nmrlipids.blogspot.com/2017/03/nmrlipids-iv-headgroup-glycerol.html?showComment=1494629838152#c3749275725682135536

1 0.140133
2 0.145168 0.284255
3 -0.259474 -0.247185
4 -0.236955
5 0.328122 0.0649587


