#From http://nmrlipids.blogspot.com/2017/03/nmrlipids-iv-headgroup-glycerol.html?showComment=1491438963532#c7928898586917279430
#
#POPS 15A cut-off version 1

1 -0.099784 
2 0.0174399 -0.0957243
3 -0.0149656 0.130198
4 -0.00562752 
5 0.044824 -0.16667
