#From http://nmrlipids.blogspot.com/2017/03/nmrlipids-iv-headgroup-glycerol.html?showComment=1491469275406#c2581199604649938289
#
#DOPS 1.0 nm switching version 1

1 -0.0596363 
2 0.0167668 -0.0638123
3 -0.217616 -0.214942
4 -0.204914 
5 -0.18654 -0.0560908
