#From http://nmrlipids.blogspot.com/2017/03/nmrlipids-iv-headgroup-glycerol.html?showComment=1491469097396#c7484953113066640946
#
#POPS 1.0 nm switching version 1

1 -0.0928681
2 0.0244739 -0.0832559
3 -0.23423 -0.24347
4 -0.248209 
5 -0.218282 -0.0506971
