0.00419089528  12.6945361203	0.004505212426  0.0116559274975
0.0319765309864  12.2040442139	0.004505212426  0.0116559274975
0.0593849861177  11.9238304783	0.004505212426  0.0116559274975
0.158415841584  11.7141285557	0.004505212426  0.0116559274975
0.257279061239  11.5978835979	0.004505212426  0.0116559274975
0.508648960134  11.4591649641	0.004505212426  0.0116559274975
0.760144585887  11.2503536068	0.004505212426  0.0116559274975
1.01134684897  11.2050919378	0.004505212426  0.0116559274975
1.5139609199  10.9977473938	0.004505212426  0.0116559274975
2.00760647493  10.7903504636	0.004505212426  0.0116559274975
2.50963382052  10.9101052962	0.004505212426  0.0116559274975
3.01224789146  10.7027607523	0.004505212426  0.0116559274975
4.00792079208  10.6151186547	0.004505212426  0.0116559274975
