-5.65302309543e-06  8.0160319735	0.0014160822854  0.0160093614062
0.0032109171182  6.89383905278	0.0014160822854  0.0160093614062
0.00624659052045  6.28466928402	0.0014160822854  0.0160093614062
0.0092709578765  5.70756346225	0.0014160822854  0.0160093614062
0.0150822656186  5.22669470566	0.0014160822854  0.0160093614062
0.0180274906513  4.87403651288	0.0014160822854  0.0160093614062
0.0323126800135  4.36123948184	0.0014160822854  0.0160093614062
0.0521152199167  4.20123631615	0.0014160822854  0.0160093614062
0.0775142526845  4.16957938682	0.0014160822854  0.0160093614062
0.102935897545  4.07379456349	0.0014160822854  0.0160093614062
0.252565765857  3.72348802831	0.0014160822854  0.0160093614062
0.503723928964  3.43893745778	0.0014160822854  0.0160093614062
0.754814255794  3.34677056923	0.0014160822854  0.0160093614062
1.00304980596  3.35075029749	0.0014160822854  0.0160093614062
