0.0197094800372  3.99104165159	0.00871337182435  0.0127610531766
0.160849400643  4.57666932058	0.00871337182435  0.0127610531766
0.283671753643  4.78017805344	0.00871337182435  0.0127610531766
0.458885690583  4.95807559755	0.00871337182435  0.0127610531766
1.29965647601  5.69478700956	0.00871337182435  0.0127610531766
1.59747005996  5.97428302591	0.00871337182435  0.0127610531766
2.00045654728  6.38089962084	0.00871337182435  0.0127610531766
2.99856911402  7.11721016207	0.00871337182435  0.0127610531766
3.99645897477  7.75161044268	0.00871337182435  0.0127610531766
6.01050058739  9.37705237488	0.00871337182435  0.0127610531766
8.00678139737  10.8751510225	0.00871337182435  0.0127610531766
10.0022270599  11.9910861928	0.00871337182435  0.0127610531766
