-0.00177357974268  7.61625308476	0.00871587759259  0.0203252238511
0.0139859431137  6.23647898815	0.00871587759259  0.0203252238511
0.0998272026594  4.97815963231	0.00871587759259  0.0203252238511
0.273435322614  4.00354209211	0.00871587759259  0.0203252238511
0.499642750366  3.15045023589	0.00871587759259  0.0203252238511
0.760663014782  2.17547797974	0.00871587759259  0.0203252238511
1.00440354513  1.36289468483	0.00871587759259  0.0203252238511
1.50962040326  -0.0594453256039	0.00871587759259  0.0203252238511
2.52045950917  -2.57948931038	0.00871587759259  0.0203252238511
3.00870067548  -3.59596333251	0.00871587759259  0.0203252238511
3.51396820732  -4.97772383843	0.00871587759259  0.0203252238511
