0.0374831587203  8.00896860987	0.00446419594201  0.0134529147982
0.035794003499  6.87892376682	0.00446419594201  0.0134529147982
0.0333407066299  5.23766816143	0.00446419594201  0.0134529147982
0.0417864827364  4.88789237668	0.00446419594201  0.0134529147982
0.0589193428382  4.34977578475	0.00446419594201  0.0134529147982
0.0855436465644  4.16143497758	0.00446419594201  0.0134529147982
0.1212572141  4.05381165919	0.00446419594201  0.0134529147982
0.273200748054  3.70403587444	0.00446419594201  0.0134529147982
0.523919644473  3.43497757848	0.00446419594201  0.0134529147982
0.77487984878  3.32735426009	0.00446419594201  0.0134529147982
1.02608136098  3.38116591928	0.00446419594201  0.0134529147982
1.02640310483  3.59641255605	0.00446419594201  0.0134529147982
