-0.00383940489224  1.69899665552	0.0044993026081  0.0066889632107
0.00560913058476  1.48494983278	0.0044993026081  0.0066889632107
0.0952952292395  1.48494983278	0.0044993026081  0.0066889632107
0.148896920977  1.57859531773	0.0044993026081  0.0066889632107
0.247551629497  1.57859531773	0.0044993026081  0.0066889632107
0.498552724328  1.63210702341	0.0044993026081  0.0066889632107
0.749583814509  1.67224080268	0.0044993026081  0.0066889632107
1.00025496048  1.872909699	0.0044993026081  0.0066889632107
1.50228714549  1.96655518395	0.0044993026081  0.0066889632107
2.00374941884  2.3143812709	0.0044993026081  0.0066889632107
2.50620153876  2.22073578595	0.0044993026081  0.0066889632107
2.99815528593  2.80936454849	0.0044993026081  0.0066889632107
4.00116981868  3.46488294314	0.0044993026081  0.0066889632107
