0.00419089528  12.6945361203	0.004505212426  0.0116559274975
0.00578343548641  11.8066949552	0.004505212426  0.0116559274975
0.0157996752056  11.2226413118	0.004505212426  0.0116559274975
0.0251872806328  10.9890512861	0.004505212426  0.0116559274975
0.0347006129184  10.6853685369	0.004505212426  0.0116559274975
0.0529729163393  10.4985593797	0.004505212426  0.0116559274975
0.0804232804233  10.1949814029	0.004505212426  0.0116559274975
0.107664099743  10.008224632	0.004505212426  0.0116559274975
0.251663261564  9.72869191681	0.004505212426  0.0116559274975
0.503158887317  9.51988055948	0.004505212426  0.0116559274975
0.745476452407  9.4278380219	0.004505212426  0.0116559274975
