0.00419089528  12.6945361203	0.004505212426  0.0116559274975
0.00657970558961  11.3627743727	0.004505212426  0.0116559274975
0.0261092775944  10.47503798	0.004505212426  0.0116559274975
0.0356645188328  10.1479909896	0.004505212426  0.0116559274975
0.0539787312065  9.93781759128	0.004505212426  0.0116559274975
0.0990727644193  9.79789407512	0.004505212426  0.0116559274975
0.252040442139  9.51841374614	0.004505212426  0.0116559274975
0.503326523129  9.42642359474	0.004505212426  0.0116559274975
0.754570695165  9.35779768453	0.004505212426  0.0116559274975
1.00577295825  9.31253601551	0.004505212426  0.0116559274975
