-0.000599220448115  1.69938919085	0.0014160822854  0.0160093614062
0.00228947435365  1.50705073306	0.0014160822854  0.0160093614062
0.0108538043432  1.21861088263	0.0014160822854  0.0160093614062
0.0305998140155  1.21892745193	0.0014160822854  0.0160093614062
0.0503458236879  1.21924402122	0.0014160822854  0.0160093614062
0.075710938317  1.28377893288	0.0014160822854  0.0160093614062
0.101109971085  1.25212200354	0.0014160822854  0.0160093614062
0.250457188243  1.7034141433	0.0014160822854  0.0160093614062
0.504130946627  2.28463536588	0.0014160822854  0.0160093614062
0.757669032457  3.25062395242	0.0014160822854  0.0160093614062
1.00297066364  3.57519792647	0.0014160822854  0.0160093614062
