-0.00177357974268  7.61625308476	0.00871587759259  0.0203252238511
0.137021703549  6.76351594448	0.00871587759259  0.0203252238511
0.241460213539  6.39787474473	0.00871587759259  0.0203252238511
0.380863581314  6.0320916586	0.00871587759259  0.0203252238511
0.450590602054  5.86948986779	0.00871587759259  0.0203252238511
1.30550671173  4.48631049807	0.00871587759259  0.0203252238511
1.61958234731  3.99807946651	0.00871587759259  0.0203252238511
2.00338500362  3.34724664413	0.00871587759259  0.0203252238511
2.99800852332  1.84176121536	0.00871587759259  0.0203252238511
4.01031716673  0.498522861443	0.00871587759259  0.0203252238511
6.00032431172  -1.90375542842	0.00871587759259  0.0203252238511
8.00761119078  -4.46842267952	0.00871587759259  0.0203252238511
9.99822642026  -6.38374691524	0.00871587759259  0.0203252238511
