0.0374831587203  8.00896860987	0.00446419594201  0.0134529147982
0.0544953648776  7.39013452915	0.00446419594201  0.0134529147982
0.179331979328  6.90582959641	0.00446419594201  0.0134529147982
0.286512899918  6.60986547085	0.00446419594201  0.0134529147982
0.528142532526  6.2600896861	0.00446419594201  0.0134529147982
0.778941864908  6.04484304933	0.00446419594201  0.0134529147982
1.02978141527  5.85650224215	0.00446419594201  0.0134529147982
1.53170182389  5.64125560538	0.00446419594201  0.0134529147982
2.03386354039  5.58744394619	0.00446419594201  0.0134529147982
2.53582416699  5.39910313901	0.00446419594201  0.0134529147982
3.02849443986  4.99551569507	0.00446419594201  0.0134529147982
4.02340686521  4.59192825112	0.00446419594201  0.0134529147982
