0.00116452275766  12.6974134593	0.0014160822854  0.0160093614062
0.00430195057562  11.7996681675	0.0014160822854  0.0160093614062
0.0044489291761  11.3828368566	0.0014160822854  0.0160093614062
0.0074167663012  10.9660507698	0.0014160822854  0.0160093614062
0.0131715438123  10.6455017482	0.0014160822854  0.0160093614062
0.0302662856529  10.1648138883	0.0014160822854  0.0160093614062
0.0529236022194  9.90866410585	0.0014160822854  0.0160093614062
0.0783339410333  9.84494322952	0.0014160822854  0.0160093614062
0.0980912567518  9.81319585181	0.0014160822854  0.0160093614062
0.250519371497  9.52706243481	0.0014160822854  0.0160093614062
0.501621004373  9.40283159927	0.0014160822854  0.0160093614062
0.75268871911  9.37479260472	0.0014160822854  0.0160093614062
1.00093557532  9.34670838598	0.0014160822854  0.0160093614062
