0.0197094800372  3.99104165159	0.00871337182435  0.0127610531766
0.0223262754094  5.18848721389	0.00871337182435  0.0127610531766
0.0943159863927  6.13097895985	0.00871337182435  0.0127610531766
0.270142364804  6.58912972067	0.00871337182435  0.0127610531766
0.498304650658  6.99619172759	0.00871337182435  0.0127610531766
0.761598806296  7.47959734757	0.00871337182435  0.0127610531766
1.0071321593  7.83565968298	0.00871337182435  0.0127610531766
1.51556993246  8.49678468228	0.00871337182435  0.0127610531766
2.51479602915  9.74264652662	0.00871337182435  0.0127610531766
3.02301109633  10.3018612653	0.00871337182435  0.0127610531766
3.51357671386  10.7846878497	0.00871337182435  0.0127610531766
