1  -0.119213583784 -0.0971539928598
2  -0.165233929385 -0.154748709548
2  -0.0296055987556 -0.0227115331225
3  -0.245526966207 -0.240353107477
3  -0.179646019162 -0.186007143361
4  -0.188258293132 -0.201096944342
5  -0.154593331908 -0.169944315635
5   0.0214126369855 0.0105784002612
